Owner,State,County,Country_Code,Acres,Acq_Year,Lat,Lng,Miles_Away,Nearest_Base,Base_Type,China_Flag,Iran_Flag,Russia_Flag,NK_Flag
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,560.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,558.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,441.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,400.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,375.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,317.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,320.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,320.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,320.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,309.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,309.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
